,Family,Subfamily,Genus,Species,,Common Name,Habitat,Abundance,Occurrence,F,FE,OP,UG,Remarks
1,Hesperiidae,Coeliadinae,Badamia,exclamationis,"Fabricius, 1775",Brown Awl,Forests,Rare,RN,yes,no,no,no,"One record from Sankus, Madanpur Rampur (24-07-2022)"
2,Hesperiidae,Coeliadinae,Hasora,chromus,"Cramer, 1780",Common Banded Awl,Forests,Uncommon,RN,yes,no,no,no,"Records from Jakam, Jugsaipatna, Krishnamali in monsoon and winter"
3,Hesperiidae,Coeliadinae,Hasora,vitta,"Butler, 1870",Plain Banded Awl,Forests,Uncommon,UN,yes,no,no,no,"Records from Jakam, Krishnamali in monsoon and winter"
4,Hesperiidae,Hesperiinae,Ampittia,dioscorides,"Fabricius, 1793",Bush Hopper,"Open habitats, grasslands, paddyfields",Uncommon,UN,no,no,yes,no,Records from paddyfields and open habitats in late monsoon and winter
5,Hesperiidae,Hesperiinae,Baoris,farri,"Moore, 1878",Paintbrush Swift,Forests,Uncommon,UN,yes,yes,no,no,"Records from Jakam, Urladani, Khandualmali"
6,Hesperiidae,Hesperiinae,Borbo,cinnara,"Wallace, 1866",Rice Swift,"Forests, forest edges, open habitats",Common,CW,yes,yes,yes,no,Records from forests and forest edges.
7,Hesperiidae,Hesperiinae,Caltoris,kumara,"Moore, 1878",Blank Swift,Forests,Uncommon,UN,yes,yes,no,no,"Records from forested parts, in winter season"
8,Hesperiidae,Hesperiinae,Erionota,thrax,"Linnaeus, 1767",Palm Redeye,Forests,Rare,RN,yes,no,no,yes,One record from Jakam (9-12-2023)
9,Hesperiidae,Hesperiinae,Gangara,thyrsis,"Fabricius, 1775",Giant Redeye,Urban Garden,Rare,RN,no,no,no,yes,Two records from Bhaawanipatna town in November 2025
10,Hesperiidae,Hesperiinae,Halpe,porus,"Mabille, 1877",Moore's Ace,Forests,Rare,UN,yes,no,no,no,Records from Karlapat between July to August
11,Hesperiidae,Hesperiinae,Hyarotis,adrastus,"Stoll, 1780",Tree Flitter,Forest edges,Rare,RN,yes,no,no,no,One record from Niyamgiri (16-11-2024)
12,Hesperiidae,Hesperiinae,Iambrix,salsala,"Moore, 1866",Chestnut Bob,"Forest edges, clearings",Common,CN,yes,yes,no,no,Records between September to February
13,Hesperiidae,Hesperiinae,Matapa,aria,"Moore, 1866",Common Redeye,"Forests, forest edges",Uncommon,UW,yes,yes,no,no,"Seen in Jakam, Betkot, Jamunasagar all in October"
14,Hesperiidae,Hesperiinae,Notocrypta,curvifascia,Felder. 1862,Restricted Demon,Forests,Rare,RN,yes,no,no,no,One record from Jakam (25-3-24)
15,Hesperiidae,Hesperiinae,Parnara,bada,"Moore, 1878",Oriental Straight Swift,Forest edges,Common,CW,no,yes,yes,yes,Seen in scrubs and stunted forests
16,Hesperiidae,Hesperiinae,Parnara,ganga,"Evans, 1937",Continental Swift,Forest edges,Rare,RN,no,yes,yes,no,Seen in scrubs and stunted forests
17,Hesperiidae,Hesperiinae,Parnara,guttata,"Bremer & Grey, 1852",Common Straight Swift,Forest edges,Rare,RN,no,yes,no,no,One record from Khandualmali foothills in November 2024
18,Hesperiidae,Hesperiinae,Pelopidas,agna,"Moore, 1866",Little Branded Swift,Forest edges,Uncommon,UW,no,yes,yes,no,Seen in Rabandhara and scrub habitats
19,Hesperiidae,Hesperiinae,Pelopidas,conjuncta,"Herrich-Schaffer, 1869",Conjoined Swift,Forest edges,Rare,RN,no,yes,no,no,One record in degraded forest in Khandualmali in (3-11-2024)
20,Hesperiidae,Hesperiinae,Pelopidas,mathias,"Fabricius, 1798",Small Branded Swift,Forest clearings,Uncommon,UW,yes,yes,yes,yes,Seen in Rabandhara and scrub habitats
21,Hesperiidae,Hesperiinae,Potanthus,sp,,Chinese Dart,Forests,Rare,UN,yes,no,no,no,Records from locations within Karlapat Sanctuary between September to Feb
22,Hesperiidae,Hesperiinae,Suastus,gremius,"Fabricius, 1798",Indian Palm Bob,Forests,Rare,RW,yes,no,no,yes,"One record from Rabandhara, gardens with palm trees"
23,Hesperiidae,Hesperiinae,Telicota,bambusae,"Moore, 1878",Dark Palm Dart,Forests,Rare,RN,yes,yes,no,no,Seen in forests and forest edges
24,Hesperiidae,Hesperiinae,Telicota,colon,"Fabricius, 1775",Pale Palm Dart,Forests,Rare,RN,yes,yes,no,no,Seen in forests and forest edges
25,Hesperiidae,Hesperiinae,Udaspes,folus,"Cramer, 1775",Grass Demon,"Forests, forest edges",Common,CN,yes,no,no,no,Seen commonly in forested patches in monsoon months
26,Hesperiidae,Pyrginae,Caprona,ransonnettii,"Felder, 1868",Golden Angle,"Forests, forest edges",Common,CW,yes,yes,no,no,Seen in forests and forest edges
27,Hesperiidae,Pyrginae,Celaenorrhinus,leucocera,"Kollar, 1844",Common Spotted Flat,Forests,Rare,RN,yes,no,no,no,Records from Jakam and Mohangiri in Oct-Nov
28,Hesperiidae,Pyrginae,Coladenia,indrani,"Moore, 1866",Tricolored Pied Flat,Forests,Rare,RN,yes,no,no,no,One record from Phurlijharan in late October (26-11-2024)
29,Hesperiidae,Pyrginae,Gerosis,bhagava,"Moore, 1866",Common Yellow Breasted Flat,Forests,Rare,RN,yes,no,no,no,Records from Sagada and Keluamali plateau in October
30,Hesperiidae,Pyrginae,Sarangesa,dasahara,"Moore, 1866",Common Small Flat,"Forests, forest edges",Rare,RN,yes,yes,no,no,"Seen in forest clearings and edges, at low elevations"
31,Hesperiidae,Pyrginae,Sarangesa,purendra,"Moore, 1882",Spotted Small Flat,Open patches within forests,Rare,RN,yes,no,no,no,"Records from top of Khandualmali plateau, in August and December"
32,Hesperiidae,Pyrginae,Spialia,galba,"Fabricius, 1793",Indian Skipper,"Forest edges, Open habitats",Common,CW,yes,yes,yes,yes,Seen in open patches - inside forests and in grasslands
33,Hesperiidae,Pyrginae,Tapena,thwaitesi,"Moore, 1881",Black Angle,Forests,Rare,RN,yes,no,no,no,One record from Jakam (27-09-2025)
34,Hesperiidae,Pyrginae,Tagiades,gana,"Moore, 1865",Suffused Snow Flat,Forests,Rare,RN,yes,no,no,no,One record from Rabandhara (16-09-2022)
35,Hesperiidae,Pyrginae,Tagiades,japetus,"Stoll, 1781",Common Snow Flat,Forests,Uncommon,UN,yes,no,yes,yes,"Records from Bhawanipatna town, Jakam, Porgel and Biswanathpur between November to February"
36,Hesperiidae,Pyrginae,Tagiades,litigiosa,Moschler 1878,Water Snow Flat,Forests,Uncommon,UN,yes,no,no,no,Records from Jakam and Manikera in Manikera in November
37,Lycaenidae,Curetinae,Curetis,acuta,"Moore, 1877",Angled Sunbeam,Forests,Rare,RN,yes,no,no,no,One record from Gundi DPF in late monsoon and in Jakam in July
38,Lycaenidae,Miletinae,Spalgis,epius,"Westwood, 1851",Apefly,Forests,Rare,RN,yes,no,no,no,One record from Karlapat Sanctuary in January (2-1-2025)
39,Lycaenidae,Polyommatinae,Acytolepis,puspa,"Horsfield, 1828",Common Hedge Blue,"Forests, forest edges",Common,CW,yes,yes,no,yes,Records from forests between September to February
40,Lycaenidae,Polyommatinae,Anthene,emolus,"Godart, 1824",Common Ciliate Blue,"Forests, forest edges",Common,CN,yes,yes,no,no,Records from forests and forest edges
41,Lycaenidae,Polyommatinae,Anthene,lycaenina,"Felder, 1868",Pointed Ciliate Blue,Forests,Uncommon,UN,yes,no,no,no,"Records in forested patches, mostly near streams"
42,Lycaenidae,Polyommatinae,Caleta,decidia,"Hewitson, 1876",Angled Pierrot,"Forests, often close to streams",Common,CN,yes,no,no,no,"Common in forests, mostly near streams"
43,Lycaenidae,Polyommatinae,Castalius,rosimon,"Fabricius, 1775",Common Pierrot,"Forests, forest margins, open habitats, gardens",Abundant,CW,yes,yes,yes,yes,Seen across habitats in all seasons
44,Lycaenidae,Polyommatinae,Catochrysops,strabo,"Fabricius, 1793",Forget-me-not,"Forests, forest margins, open habitats, gardens",Abundant,CW,yes,yes,yes,yes,Seen across habitats in all seasons
45,Lycaenidae,Polyommatinae,Chilades,lajus,"Stoll, 1780",Lime Blue,"Forest edges, open habitats",Common,CN,no,no,no,yes,"Seen close to host plant, mostly in urban gardens"
46,Lycaenidae,Polyommatinae,Chilades,parrhasius,"(Fabricius, 1793)",Small Cupid,open habitat,Rare,RN,no,no,yes,no,One record in Madanpur in June 2022
47,Lycaenidae,Polyommatinae,Euchrysops,cnejus,"Fabricius, 1798",Gram Blue,"Forest edges, grasslands, open habitats",Common,CW,yes,yes,yes,no,Seen across different habitats
48,Lycaenidae,Polyommatinae,Everes,lacturnus,"Godart, 1824",Indian Cupid,Forests - mostly foothills ,Common,CN,yes,no,no,no,"Records from forested patches, across the year"
49,Lycaenidae,Polyommatinae,Freyeria,putli,"Kollar, 1844",Small Grass Jewel,"Open habitats, grasslands",Rare,RW,yes,yes,yes,no,"Records from Kadalighati, Tel river banks, Tundla MIP (Nov-Jan)"
50,Lycaenidae,Polyommatinae,Jamides,alecto,"Felder, 1860",Metallic Cerulean,"Forests, often close to streams",Rare,RN,yes,no,no,no,"Seen in forested patches, near streams, in winter months"
51,Lycaenidae,Polyommatinae,Jamides,bochus,"Stoll, 1782",Dark Cerulean ,Forests,Uncommon,UN,yes,no,no,yes,Seen in forested patches
52,Lycaenidae,Polyommatinae,Jamides,celeno,"Cramer, 1775",Common Cerulean,"Forests, forest edges",Common,CW,yes,yes,yes,yes,Seen across seasons
53,Lycaenidae,Polyommatinae,Leptotes,plinius,"Fabricius, 1793",Zebra Blue,"Forests, forest edges",Rare,RN,yes,no,no,no,Records from Sospadar (May) and Biswanathpur (November)
54,Lycaenidae,Polyommatinae,Luthrodes,pandava,"Horsfield, 1829",Plains Cupid,"Forests, forest edges",Common,CN,yes,no,no,no,"Seen in thinly wooded patches, mostly in open areas"
55,Lycaenidae,Polyommatinae,Neopithecops,zalmora,"Butler, 1870",Quaker,Forests,Rare,RN,yes,no,no,no,One record from Jakam (7-6-2023)
56,Lycaenidae,Polyommatinae,Nacaduba,pactolus,"Felder, 1860",Large Fourline Blue,Forests,Rare,RN,yes,no,no,no,One record from Rabandhara (20-11-2022)
57,Lycaenidae,Polyommatinae,Petrelaea,dana,"de Niceville, 1884",Dingy Lineblue,Forests,Common,CN,yes,no,no,no,"Records from forested parts, from across seasons"
58,Lycaenidae,Polyommatinae,Prosotas,dubiosa,"Semper, 1879",Tailless Lineblue,"Forests, forest edges",Common,CN,yes,yes,no,no,Records from forests and edges
59,Lycaenidae,Polyommatinae,Prosotas,nora,"Felder, 1860",Common Lineblue,"Forests, forest edges",Uncommon,UN,yes,yes,no,no,Records from forests and edges
60,Lycaenidae,Polyommatinae,Prosotas,noreia,"Felder, 1868",White tipped Lineblue,Forests,Rare,RN,yes,no,no,no,"One record from Sospadar, puddling near a stream (18-5-2023)"
61,Lycaenidae,Polyommatinae,Pseudozizeeria,maha,"Kollar, 1844",Pale Grass Blue,"Forests, forest edges",Common,CW,no,yes,yes,yes,Records from forests and forest edges
62,Lycaenidae,Polyommatinae,Tarucus,nara,"Kollar, 1848",Striped Pierrot,Grasslands and open habitats,Uncommon,UN,no,no,yes,yes,"Records in marshy areas near wetlands, grasslands, scrubs"
63,Lycaenidae,Polyommatinae,Talicada,nyseus,"Guerin, 1843",Red Pierrot,Forests,Rare,RN,yes,no,no,no,One record from Saisurni
64,Lycaenidae,Polyommatinae,Zizeeria,karsandra,"Moore, 1865",Dark Grass Blue,"Forests, forest edges",Common,RN,no,yes,no,yes,"Seen in forest edges, scrubs, grasslands. Across seasons"
65,Lycaenidae,Polyommatinae,Zizina,otis,"Fabricius, 1787",Lesser Grass Blue,"Forest edges, open habitats",Common,CW,yes,yes,yes,yes,"Seen in sparse forests, scrubs, cultivated lands"
66,Lycaenidae,Polyommatinae,Zizula,hylax,"Fabricius, 1775",Tiny Grass Blue,Forests,Common,CN,yes,yes,no,yes,"Seen in thinly wooded patches and scrubs, seen across seasons"
67,Lycaenidae,Theclinae,Amblypodia,anita,"Hewitson, 1862",Leaf Blue,"Forests, Forest Edges",Common,CN,yes,yes,no,yes,Uncommon but found across a variety of habitats in all seasons
68,Lycaenidae,Theclinae,Ancema,blanka,"de Niceville, 1894",Silver Royal,Forests,Rare,RN,yes,no,no,no,Records from Urladani and Jakam between August to December
69,Lycaenidae,Theclinae,Arhopala,amantes,"Hewitson, 1862",Large Oakblue,Forests,Common,CN,yes,no,no,no,"Seen in forested parts, in late winter and summer"
70,Lycaenidae,Theclinae,Arhopala,atrax,"Hewitson, 1862",Indian Oakblue,Forests,Rare,RN,yes,no,no,no,"Seen once in Jakam (18-5-2023), rarer than Large Oakblue"
71,Lycaenidae,Theclinae,Cigaritis,ictis,"Hewitson, 1865",Shot Silverline,Forests,Rare,RN,yes,no,no,no,One record from Urladani (18-8-2024)
72,Lycaenidae,Theclinae,Cigaritis,lohita,"Horsfield, 1829",Long Banded Silverline,Forests,Rare,RN,yes,no,no,no,Records from Jakam and Khandualmali foothills (November-February)
73,Lycaenidae,Theclinae,Cigaritis,vulcanus,"Fabricius, 1775",Common Silverline,"Forests, forest edges, clearings in forests",Common,CW,yes,yes,yes,yes,Recorded across multiple habitats in all seasons.
74,Lycaenidae,Theclinae,Hypolycaena,othona,"Hewitson, 1865",Orchid Tit,Forests,Rare,RN,yes,no,no,no,Two records from Jakam in July and September
75,Lycaenidae,Theclinae,Iraota,timoleon,"Stoll, 1790",Silverstreak Blue,Forests,Rare,RN,yes,no,no,no,One record from Jakam in late February (22-2-2024)
76,Lycaenidae,Theclinae,Loxura,atymnus,"Stoll, 1780",Yamfly,"Forests, often close to streams",Common,CN,yes,no,no,no,"Seen in dense forested areas, close to streams, across seasons"
77,Lycaenidae,Theclinae,Rachana,jalindra,"Horsfield, 1829",Banded Royal,Forests,Rare,RN,yes,no,no,no,One record in Jakam Nala (7-6-2023)
78,Lycaenidae,Theclinae,Rapala,iarbus,"Fabricius, 1787",Red Flash,"Forest edges, grasslands, open habitats",Rare,RN,no,yes,no,no,Records from forest edges and degraded patches (October-November)
79,Lycaenidae,Theclinae,Rapala,manea,"Hewitson, 1863",Slate Flash,Forests,Rare,RN,yes,no,no,no,One record from Jakam (5-12-2024)
80,Lycaenidae,Theclinae,Rapala,pheretima,"Hewitson, 1863",Copper Flash,Forests,Rare,RN,yes,no,no,no,"Records from Karlapat, Sagada and Ampani (November-January)"
81,Lycaenidae,Theclinae,Rapala,varuna,"Horsfield, 1829",Indigo Flash,Forests,Rare,RN,yes,no,no,no,One record from Jakam (18-2-2024)
